Country,League,Matchday,Hometeam,Awayteam,FTR,FTHG,FTAG,HTR,HTHG,HTAG
Germany,Bundesliga 1,25,Wolfsburg,Hamburg,,,,,,
Germany,Bundesliga 1,25,RB Leipzig,Augsburg,,,,,,
Germany,Bundesliga 1,25,Mainz,Stuttgart,,,,,,
Germany,Bundesliga 1,25,Freiburg,Leverkusen,,,,,,
Germany,Bundesliga 1,25,Bayern Munich,M'gladbach,,,,,,
Germany,Bundesliga 1,26,Hamburg,FC Koln,,,,,,
Germany,Bundesliga 1,26,Hoffenheim,Wolfsburg,,,,,,
Germany,Bundesliga 1,26,M'gladbach,St Pauli,,,,,,
Germany,Bundesliga 1,26,Stuttgart,RB Leipzig,,,,,,
Germany,Bundesliga 1,26,Werder Bremen,Mainz,,,,,,
Germany,Bundesliga 1,26,Freiburg,Union Berlin,,,,,,
Germany,Bundesliga 1,26,Dortmund,Augsburg,,,,,,
Germany,Bundesliga 1,26,Ein Frankfurt,Heidenheim,,,,,,
Germany,Bundesliga 1,26,Leverkusen,Bayern Munich,,,,,,
Germany,Bundesliga 1,27,FC Koln,M'gladbach,,,,,,
Germany,Bundesliga 1,27,Heidenheim,Leverkusen,,,,,,
Germany,Bundesliga 1,27,St Pauli,Freiburg,,,,,,
Germany,Bundesliga 1,27,Augsburg,Stuttgart,,,,,,
Germany,Bundesliga 1,27,Wolfsburg,Werder Bremen,,,,,,
Germany,Bundesliga 1,27,RB Leipzig,Hoffenheim,,,,,,
Germany,Bundesliga 1,27,Mainz,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,27,Dortmund,Hamburg,,,,,,
Germany,Bundesliga 1,27,Bayern Munich,Union Berlin,,,,,,
Germany,Bundesliga 1,28,Hamburg,Augsburg,,,,,,
Germany,Bundesliga 1,28,Hoffenheim,Mainz,,,,,,
Germany,Bundesliga 1,28,Union Berlin,St Pauli,,,,,,
Germany,Bundesliga 1,28,M'gladbach,Heidenheim,,,,,,
Germany,Bundesliga 1,28,Stuttgart,Dortmund,,,,,,
Germany,Bundesliga 1,28,Werder Bremen,RB Leipzig,,,,,,
Germany,Bundesliga 1,28,Freiburg,Bayern Munich,,,,,,
Germany,Bundesliga 1,28,Ein Frankfurt,FC Koln,,,,,,
Germany,Bundesliga 1,28,Leverkusen,Wolfsburg,,,,,,
Germany,Bundesliga 1,29,FC Koln,Werder Bremen,,,,,,
Germany,Bundesliga 1,29,Heidenheim,Union Berlin,,,,,,
Germany,Bundesliga 1,29,St Pauli,Bayern Munich,,,,,,
Germany,Bundesliga 1,29,Augsburg,Hoffenheim,,,,,,
Germany,Bundesliga 1,29,Wolfsburg,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,29,Stuttgart,Hamburg,,,,,,
Germany,Bundesliga 1,29,RB Leipzig,M'gladbach,,,,,,
Germany,Bundesliga 1,29,Mainz,Freiburg,,,,,,
Germany,Bundesliga 1,29,Dortmund,Leverkusen,,,,,,
Germany,Bundesliga 1,30,Hoffenheim,Dortmund,,,,,,
Germany,Bundesliga 1,30,St Pauli,FC Koln,,,,,,
Germany,Bundesliga 1,30,Union Berlin,Wolfsburg,,,,,,
Germany,Bundesliga 1,30,M'gladbach,Mainz,,,,,,
Germany,Bundesliga 1,30,Werder Bremen,Hamburg,,,,,,
Germany,Bundesliga 1,30,Freiburg,Heidenheim,,,,,,
Germany,Bundesliga 1,30,Ein Frankfurt,RB Leipzig,,,,,,
Germany,Bundesliga 1,30,Leverkusen,Augsburg,,,,,,
Germany,Bundesliga 1,30,Bayern Munich,Stuttgart,,,,,,
Germany,Bundesliga 1,31,Hamburg,Hoffenheim,,,,,,
Germany,Bundesliga 1,31,FC Koln,Leverkusen,,,,,,
Germany,Bundesliga 1,31,Heidenheim,St Pauli,,,,,,
Germany,Bundesliga 1,31,Augsburg,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,31,Wolfsburg,M'gladbach,,,,,,
Germany,Bundesliga 1,31,Stuttgart,Werder Bremen,,,,,,
Germany,Bundesliga 1,31,RB Leipzig,Union Berlin,,,,,,
Germany,Bundesliga 1,31,Mainz,Bayern Munich,,,,,,
Germany,Bundesliga 1,31,Dortmund,Freiburg,,,,,,
Germany,Bundesliga 1,32,Hoffenheim,Stuttgart,,,,,,
Germany,Bundesliga 1,32,St Pauli,Mainz,,,,,,
Germany,Bundesliga 1,32,Union Berlin,FC Koln,,,,,,
Germany,Bundesliga 1,32,M'gladbach,Dortmund,,,,,,
Germany,Bundesliga 1,32,Werder Bremen,Augsburg,,,,,,
Germany,Bundesliga 1,32,Freiburg,Wolfsburg,,,,,,
Germany,Bundesliga 1,32,Ein Frankfurt,Hamburg,,,,,,
Germany,Bundesliga 1,32,Leverkusen,RB Leipzig,,,,,,
Germany,Bundesliga 1,32,Bayern Munich,Heidenheim,,,,,,
Germany,Bundesliga 1,33,Hamburg,Freiburg,,,,,,
Germany,Bundesliga 1,33,FC Koln,Heidenheim,,,,,,
Germany,Bundesliga 1,33,Hoffenheim,Werder Bremen,,,,,,
Germany,Bundesliga 1,33,Augsburg,M'gladbach,,,,,,
Germany,Bundesliga 1,33,Wolfsburg,Bayern Munich,,,,,,
Germany,Bundesliga 1,33,Stuttgart,Leverkusen,,,,,,
Germany,Bundesliga 1,33,RB Leipzig,St Pauli,,,,,,
Germany,Bundesliga 1,33,Mainz,Union Berlin,,,,,,
Germany,Bundesliga 1,33,Dortmund,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,34,Heidenheim,Mainz,,,,,,
Germany,Bundesliga 1,34,St Pauli,Wolfsburg,,,,,,
Germany,Bundesliga 1,34,Union Berlin,Augsburg,,,,,,
Germany,Bundesliga 1,34,M'gladbach,Hoffenheim,,,,,,
Germany,Bundesliga 1,34,Werder Bremen,Dortmund,,,,,,
Germany,Bundesliga 1,34,Freiburg,RB Leipzig,,,,,,
Germany,Bundesliga 1,34,Ein Frankfurt,Stuttgart,,,,,,
Germany,Bundesliga 1,34,Leverkusen,Hamburg,,,,,,
Germany,Bundesliga 1,34,Bayern Munich,FC Koln,,,,,,
Germany,Bundesliga 2,14,Bielefeld,Preußen Münster,,,,,,
Germany,Bundesliga 2,14,Elversberg,Darmstadt,D,0.0,0.0,D,0.0,0.0
Germany,Bundesliga 2,14,Dresden,Fortuna Dusseldorf,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 2,14,Magdeburg,Nurnberg,H,3.0,0.0,D,0.0,0.0
Germany,Bundesliga 2,14,Braunschweig,Kaiserslautern,H,2.0,0.0,H,1.0,0.0
Germany,Bundesliga 2,14,Greuther Furth,Bochum,A,0.0,3.0,A,0.0,3.0
Germany,Bundesliga 2,14,Holstein Kiel,Hertha,A,0.0,1.0,D,0.0,0.0
Germany,Bundesliga 2,14,Hannover,Karlsruhe,H,3.0,0.0,D,0.0,0.0
Germany,Bundesliga 2,14,Schalke 04,Paderborn,H,2.0,1.0,D,1.0,1.0
Germany,Bundesliga 2,13,Kaiserslautern,Holstein Kiel,H,4.0,1.0,H,4.0,1.0
Germany,Bundesliga 2,13,Karlsruhe,Elversberg,A,2.0,3.0,A,0.0,1.0
Germany,Bundesliga 2,13,Nurnberg,Bielefeld,H,2.0,0.0,D,0.0,0.0
Germany,Bundesliga 2,13,Darmstadt,Greuther Furth,H,4.0,2.0,D,1.0,1.0
Germany,Bundesliga 2,13,Fortuna Dusseldorf,Magdeburg,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 2,13,Paderborn,Hannover,A,0.0,2.0,A,0.0,2.0
Germany,Bundesliga 2,13,Preußen Münster,Schalke 04,,,,,,
